Simulation Run Number	T-R Separation Distance (m)	Time Delay (ns)	Received Power (dBm)	 Phase (rad)	Azimuth AoD (degree)	Elevation AoD (degree)	Azimuth AoA (degree)	Elevation AoA (degree)	Path Loss (dB)	RMS Delay Spread (ns)	
            8.0	           45.2	                 355	           -106.1	          5.3	             64	            -12.6	            234.2	               54	            108.8	             23.9
            8.0	           45.2	                 355	            -99.3	          6.0	             66	            -15.5	            238.4	               38	            118.8	             74.9
            8.0	           45.2	                 359	           -111.5	          0.4	             58	            -17.0	            243.3	               41	            113.2	             46.9
            8.0	           45.2	                 364	           -123.2	          3.0	             62	            -18.9	            249.2	               44	            120.4	             48.2
            8.0	           45.2	                 369	           -111.8	          2.0	             53	            -14.8	            247.8	               48	            112.8	             16.8
            8.0	           45.2	                 371	           -108.2	          0.2	             59	            -14.9	            237.3	               38	            109.9	             32.4
            8.0	           45.2	                 378	           -103.5	          1.6	             57	            -16.0	            237.9	               51	            106.8	             24.3
            8.0	           45.2	                 376	           -108.6	          2.4	             56	            -15.4	            248.3	               28	            118.8	             49.3
            8.0	           45.2	                 384	           -109.5	          3.0	             70	            -13.9	            240.6	               41	            121.9	             79.5
            8.0	           45.2	                 387	           -111.2	          2.7	             72	            -19.1	            254.3	               38	            111.0	              7.8
            8.0	           45.2	                 392	           -120.4	          3.9	             59	            -13.3	            238.9	               38	            108.8	             30.4
            8.0	           45.2	                 398	           -115.0	          4.3	             58	            -17.3	            237.4	               46	            107.4	             24.0
            8.0	           45.2	                 401	           -120.1	          3.5	             64	            -13.4	            235.4	               41	            110.9	             35.7
            8.0	           45.2	                 406	           -107.8	          1.9	             67	            -11.2	            257.3	               47	            132.0	            105.1
            8.0	           45.2	                 520	           -132.6	          3.0	             61	            -18.4	            243.4	               38	            118.0	             67.0
            8.0	           45.2	                 518	           -125.8	          5.2	             57	            -16.6	            244.9	               23	            121.7	             66.6
            8.0	           45.2	                 526	           -127.9	          4.1	             64	            -15.8	            253.8	               39	            119.9	             33.1
            8.0	           45.2	                 531	           -134.1	          4.1	             59	            -15.9	            238.5	               41	            109.0	             32.2
            8.0	           45.2	                 533	           -132.3	          2.4	             57	            -16.1	            251.7	               33	            116.2	             37.7
            8.0	           45.2	                 537	           -128.4	          4.1	             69	            -21.3	            248.0	               28	             96.0	              0.6
            8.0	           45.2	                 543	           -135.6	          4.4	             60	            -17.2	            256.6	               35	            120.9	             44.1
            8.0	           45.2	                 548	           -143.4	          5.4	             83	            -19.0	            244.9	               31	            118.6	              4.1
            8.0	           45.2	                 546	           -136.5	          3.4	             73	            -16.8	            253.0	               12	            125.5	              9.5
            8.0	           45.2	                 559	           -137.8	          3.8	             64	            -17.9	            246.0	               36	            113.4	             39.5
            8.0	           45.2	                 554	           -133.4	          4.6	             51	            -17.9	            244.3	                4	            124.3	             11.7
            8.0	           45.2	                 693	           -157.3	          6.2	             59	            -19.2	            251.1	               27	            111.8	             20.6
            8.0	           45.2	                 699	           -160.0	          1.2	             74	            -22.6	            257.9	               41	            126.0	             23.6
            8.0	           45.2	                 701	           -153.0	          1.2	             61	            -19.8	            246.8	               34	            114.8	             45.9
            8.0	           45.2	                 711	           -160.0	          5.3	             56	            -15.5	            237.1	               61	            113.2	             23.1
            8.0	           45.2	                 702	           -160.0	          3.8	             56	            -19.3	            258.7	               19	            130.0	             75.5
            8.0	           45.2	                 709	           -160.0	          6.1	             64	            -18.5	            256.6	               29	            105.5	              2.9
            8.0	           45.2	                 714	           -160.0	          6.1	             68	            -21.9	            244.4	               33	            104.6	              5.3
            8.0	           45.2	                 714	           -160.0	          4.1	             75	            -21.3	            256.0	               26	            100.9	              0.3
            8.0	           45.2	                 718	           -160.0	          2.7	             59	            -19.9	            245.4	               27	            115.2	             25.5
            8.0	           45.2	                 725	           -160.0	          2.7	             66	            -17.9	            249.1	               37	            111.0	             18.9
            8.0	           45.2	                 725	           -160.0	          0.3	             67	            -16.7	            240.8	               26	            110.0	              6.8
            8.0	           45.2	                 737	           -160.0	          4.0	             71	            -20.2	            263.4	               73	            124.6	              4.8
            8.0	           45.2	                 735	           -160.0	          5.4	             64	            -20.9	            254.8	               37	            113.3	              9.6
            8.0	           45.2	                 740	           -160.0	          4.3	             65	            -14.9	            238.1	               39	            114.9	             59.0
            8.0	           45.2	                 742	           -160.0	          0.1	             64	            -23.1	            252.1	               34	            106.1	              3.8
            8.0	           45.2	                 744	           -160.0	          5.8	             71	            -17.8	            244.2	               29	            101.4	              1.4
            8.0	           45.2	                 746	           -160.0	          6.1	             64	            -19.4	            266.5	               28	            130.4	             21.7
            8.0	           45.2	                 747	           -160.0	          4.6	             67	            -20.5	            250.6	               15	            112.0	              9.8
            8.0	           45.2	                 760	           -160.0	          5.2	             63	            -20.4	            249.2	               44	            123.3	             57.8
            8.0	           45.2	                 757	           -160.0	          5.4	             75	            -19.6	            259.7	               23	            108.2	              0.5
            8.0	           45.2	                 765	           -160.0	          4.5	             69	            -17.9	            242.3	               37	            116.5	             56.7
            8.0	           45.2	                 769	           -160.0	          0.3	             68	            -22.0	            239.6	               37	            122.3	             81.5
            8.0	           45.2	                 769	           -160.0	          0.7	             63	            -17.9	            252.9	               27	            104.1	              6.0
            8.0	           45.2	                 776	           -160.0	          5.8	             78	            -18.3	            247.4	               35	            110.7	              3.0
            8.0	           45.2	                 778	           -160.0	          4.4	             70	            -22.6	            240.5	               28	            107.6	              3.0
            8.0	           45.2	                 785	           -160.0	          4.1	             77	            -15.4	            240.3	               39	            130.1	             70.8
            9.0	           46.1	                 150	            -64.1	          4.4	             70	            -20.8	            249.7	               27	             94.1	              0.2
            9.0	           46.1	                 153	            -71.6	          1.9	             52	             -6.5	            226.5	               68	            101.2	              9.9
            9.0	           46.1	                 154	            -71.1	          2.1	             54	             -7.1	            231.7	               55	             95.0	             12.3
            9.0	           46.1	                 157	            -69.5	          1.4	             52	             -4.7	            215.3	              129	             99.5	              1.4
            9.0	           46.1	                 165	            -89.7	          6.0	             51	             -4.9	            225.0	               95	            102.5	              6.3
            9.0	           46.1	                 166	            -69.4	          1.9	             53	             -8.0	            230.7	               53	             94.7	             11.8
            9.0	           46.1	                 169	            -75.1	          4.8	             52	             -5.0	            226.1	               92	             99.2	              5.5
            9.0	           46.1	                 177	            -80.1	          1.6	             48	             -5.6	            224.0	               86	            100.8	              3.8
            9.0	           46.1	                 177	            -67.2	          2.2	             54	             -6.7	            232.2	               51	             94.6	             12.7
            9.0	           46.1	                 181	            -67.7	          5.1	             52	             -6.9	            227.4	               88	             97.2	              3.9
            9.0	           46.1	                 182	            -84.9	          1.4	             55	            -10.2	            235.1	                1	            114.2	              6.8
            9.0	           46.1	                 187	            -77.0	          0.4	             54	             -7.2	            229.9	               73	            103.5	             16.9
            9.0	           46.1	                 187	            -85.9	          5.3	             58	             -9.7	            239.6	               51	            102.3	             19.4
            9.0	           46.1	                 195	            -90.7	          1.6	             60	             -9.6	            229.0	               64	            109.6	             16.2
            9.0	           46.1	                 202	            -82.1	          3.2	             49	             -8.6	            240.8	               59	            108.4	             20.7
            9.0	           46.1	                 205	            -83.2	          4.7	             54	             -9.4	            240.5	               53	            102.5	             19.6
            9.0	           46.1	                 210	            -75.4	          1.1	             57	             -8.6	            235.5	               51	             97.2	             16.7
            9.0	           46.1	                 212	            -97.3	          3.8	             52	             -9.7	            232.5	               39	            114.0	             24.4
            9.0	           46.1	                 220	            -83.0	          1.9	             53	             -7.8	            234.8	               51	             95.8	             14.2
            9.0	           46.1	                 224	            -94.1	          4.8	             54	            -10.3	            232.7	               33	            119.4	             31.5
            9.0	           46.1	                 231	            -84.6	          1.1	             61	             -8.9	            230.6	               41	            111.3	             28.1
            9.0	           46.1	                 232	            -90.5	          1.8	             59	            -11.7	            225.7	               82	            109.7	             15.5
            9.0	           46.1	                 240	            -97.0	          2.4	             55	            -11.0	            242.5	               58	            109.6	             21.9
            9.0	           46.1	                 240	            -91.0	          2.7	             53	            -14.2	            246.2	               38	            119.8	             35.8
            9.0	           46.1	                 256	            -98.4	          2.1	             55	             -8.8	            228.9	               83	            102.1	              5.9
            9.0	           46.1	                 318	            -94.9	          1.3	             60	             -9.3	            239.1	               23	            122.3	             72.0
            9.0	           46.1	                 321	           -103.3	          3.2	             58	            -12.0	            248.6	               19	            123.6	             58.2
            9.0	           46.1	                 322	            -95.0	          4.3	             63	            -16.3	            238.9	               42	            120.2	             69.1
            9.0	           46.1	                 331	            -97.2	          6.0	             57	            -15.2	            241.8	               42	            118.7	             63.0
            9.0	           46.1	                 333	           -100.7	          0.5	             55	            -11.8	            240.1	               15	            123.1	             65.7
            9.0	           46.1	                 339	           -106.6	          2.7	             64	            -14.7	            237.7	               44	            118.0	             59.8
            9.0	           46.1	                 340	           -105.6	          4.1	             58	            -12.4	            234.3	               57	            102.6	             18.3
            9.0	           46.1	                 347	           -104.2	          0.5	             62	            -14.4	            238.9	               46	            114.0	             43.7
            9.0	           46.1	                 350	            -96.7	          0.2	             63	            -14.6	            246.6	               47	            122.7	             79.8
            9.0	           46.1	                 357	           -110.1	          0.1	             65	            -14.6	            237.2	               40	            121.0	             64.9
            9.0	           46.1	                 358	           -100.3	          5.7	             63	            -11.7	            233.3	               58	            108.2	             24.1
            9.0	           46.1	                 362	           -107.6	          0.7	             57	            -15.8	            241.7	               43	            118.2	             61.2
            9.0	           46.1	                 367	           -113.6	          3.4	             61	            -17.9	            247.1	               46	            124.8	             78.3
            9.0	           46.1	                 372	           -105.8	          2.4	             53	            -13.8	            245.7	               50	            116.0	             26.4
            9.0	           46.1	                 373	           -100.4	          0.6	             58	            -14.0	            236.2	               40	            116.3	             52.0
            9.0	           46.1	                 378	           -108.7	          2.6	             56	            -14.5	            246.6	               29	            122.6	             49.5
            9.0	           46.1	                 381	           -120.5	          2.0	             57	            -14.9	            236.6	               54	            104.4	             20.1
            9.0	           46.1	                 386	           -113.3	          3.4	             69	            -13.0	            239.3	               43	            124.6	             75.4
            9.0	           46.1	                 389	           -110.0	          3.0	             70	            -18.3	            252.3	               39	            113.0	             12.0
            9.0	           46.1	                 394	           -114.7	          4.3	             58	            -12.5	            237.9	               41	            115.0	             47.5
            9.0	           46.1	                 401	           -115.1	          4.7	             57	            -16.2	            236.4	               49	            107.6	             22.2
            9.0	           46.1	                 403	           -114.9	          3.8	             63	            -12.5	            234.7	               44	            113.3	             36.1
            9.0	           46.1	                 408	           -123.5	          2.4	             66	            -10.6	            254.6	               49	            133.5	             92.3
            9.0	           46.1	                 519	           -139.9	          5.4	             57	            -15.8	            244.0	               24	            122.3	             51.8
            9.0	           46.1	                 522	           -124.4	          3.3	             60	            -17.6	            242.3	               39	            122.9	             75.6
            9.0	           46.1	                 528	           -151.0	          4.4	             64	            -15.1	            252.2	               40	            122.9	             51.3
            9.0	           46.1	                 534	           -131.0	          4.4	             58	            -15.1	            237.7	               43	            115.0	             50.9
            9.0	           46.1	                 535	           -138.3	          2.7	             57	            -15.5	            250.3	               34	            121.5	             44.7
            9.0	           46.1	                 538	           -152.0	          4.4	             68	            -20.6	            246.9	               29	             96.1	              0.3
            9.0	           46.1	                 545	           -140.6	          4.7	             59	            -16.6	            255.1	               36	            122.5	             23.0
            9.0	           46.1	                 547	           -131.1	          3.5	             72	            -16.1	            251.7	               12	            124.9	              7.3
            9.0	           46.1	                 549	           -149.6	          5.7	             81	            -18.5	            243.9	               32	            117.3	              1.7
            9.0	           46.1	                 554	           -148.0	          4.6	             50	            -17.2	            243.4	                4	            130.3	             18.2
            9.0	           46.1	                 561	           -156.4	          4.1	             63	            -17.1	            244.9	               37	            116.0	             38.5
            9.0	           46.1	                 667	           -152.5	          3.2	             59	             -4.0	            216.6	               15	            126.5	             16.2
            9.0	           46.1	                 670	           -160.0	          6.1	            122	            -11.6	            255.1	               11	            149.1	             18.8
            9.0	           46.1	                 672	           -158.3	          2.5	            284	            -12.4	            208.0	               21	            149.1	             17.9
            9.0	           46.1	                 675	           -158.5	          5.5	            142	             -4.5	            227.8	               13	            149.0	             18.6
            9.0	           46.1	                 678	           -160.0	          5.5	            130	             -4.4	            224.3	                6	            148.9	             17.6
            9.0	           46.1	                 681	           -155.2	          5.0	             58	             -5.0	            229.2	                7	            122.1	             13.4
           10.0	           47.0	                 153	            -61.2	          4.9	             69	            -20.4	            248.8	               28	             91.2	              0.1
           10.0	           47.0	                 156	            -84.6	          2.4	             50	             -5.4	            225.0	               77	            107.1	             13.6
           10.0	           47.0	                 157	            -78.7	          2.5	             52	             -6.0	            229.4	               62	            102.9	             14.1
           10.0	           47.0	                 160	            -67.0	          1.8	             51	             -3.9	            212.2	              137	             97.0	              0.8
           10.0	           47.0	                 168	            -77.9	          0.3	             51	             -4.1	            222.1	              104	            101.7	              2.8
           10.0	           47.0	                 169	            -77.5	          2.4	             52	             -6.8	            228.9	               60	            102.3	             13.8
           10.0	           47.0	                 172	            -71.5	          5.4	             51	             -4.2	            224.2	              101	            100.5	              3.5
           10.0	           47.0	                 180	            -74.4	          2.6	             53	             -5.7	            230.9	               58	            102.0	             15.3
           10.0	           47.0	                 180	            -85.0	          2.1	             48	             -4.8	            222.4	               94	            106.6	              6.7
           10.0	           47.0	                 182	            -89.6	          1.4	             53	             -8.9	            233.6	                1	            118.7	             10.9
           10.0	           47.0	                 184	            -79.2	          5.6	             52	             -5.9	            224.4	               96	            103.2	              7.0
           10.0	           47.0	                 190	            -84.5	          5.8	             56	             -8.5	            236.4	               56	            106.5	             22.9
           10.0	           47.0	                 190	            -74.3	          0.9	             53	             -6.2	            228.3	               81	            104.0	              8.2
           10.0	           47.0	                 198	            -80.1	          2.1	             58	             -8.5	            227.4	               70	            109.1	             13.1
           10.0	           47.0	                 205	            -90.6	          3.7	             49	             -7.5	            237.4	               65	            110.6	             34.4
           10.0	           47.0	                 208	            -88.3	          5.1	             53	             -8.3	            237.7	               58	            106.3	             27.5
           10.0	           47.0	                 212	            -83.6	          1.6	             56	             -7.5	            233.8	               57	            104.2	             19.9
           10.0	           47.0	                 214	            -77.6	          4.1	             51	             -8.6	            231.1	               43	            107.0	              8.6
           10.0	           47.0	                 223	            -85.4	          2.3	             52	             -6.9	            232.8	               56	            103.6	             17.7
           10.0	           47.0	                 226	            -94.6	          5.1	             53	             -9.1	            231.9	               37	            112.7	             12.0
           10.0	           47.0	                 233	            -78.9	          1.5	             59	             -7.9	            230.0	               45	            108.0	             11.5
           10.0	           47.0	                 235	            -81.6	          2.3	             57	            -10.5	            223.9	               88	            110.3	             20.7
           10.0	           47.0	                 242	           -102.0	          3.0	             52	            -12.8	            243.4	               41	            124.4	             58.1
           10.0	           47.0	                 243	            -80.0	          2.9	             54	             -9.9	            239.3	               63	            108.2	             28.7
           10.0	           47.0	                 259	            -98.4	          2.7	             54	             -7.9	            226.9	               89	            109.9	             24.1
           10.0	           47.0	                 320	           -100.3	          1.5	             59	             -8.5	            237.9	               25	            126.1	             70.8
           10.0	           47.0	                 322	           -101.8	          3.4	             57	            -11.2	            246.8	               21	            123.6	             67.7
           10.0	           47.0	                 325	            -90.8	          4.7	             62	            -15.3	            237.4	               45	            117.4	             56.4
           10.0	           47.0	                 333	           -103.1	          0.1	             57	            -14.0	            240.2	               45	            119.0	             62.5
           10.0	           47.0	                 334	            -96.8	          0.7	             54	            -10.9	            239.0	               16	            124.2	             74.9
           10.0	           47.0	                 341	            -96.3	          3.1	             63	            -13.6	            236.5	               47	            116.6	             55.4
           10.0	           47.0	                 342	            -98.5	          4.6	             57	            -11.6	            232.8	               60	            107.7	             28.7
           10.0	           47.0	                 350	           -120.5	          0.9	             61	            -13.5	            237.4	               48	            116.8	             58.1
           10.0	           47.0	                 353	           -113.4	          0.6	             62	            -13.5	            244.5	               50	            125.4	             79.9
           10.0	           47.0	                 360	           -105.0	          0.5	             63	            -13.8	            236.0	               43	            117.4	             55.9
           10.0	           47.0	                 361	           -117.0	          6.2	             61	            -10.8	            232.3	               61	            112.9	             30.9
           10.0	           47.0	                 364	            -97.4	          1.1	             57	            -14.7	            240.3	               46	            119.5	             63.4
           10.0	           47.0	                 369	           -116.7	          3.8	             60	            -16.8	            245.0	               48	            125.7	             78.7
           10.0	           47.0	                 374	           -116.0	          2.8	             52	            -12.9	            243.7	               53	            120.2	             35.3
           10.0	           47.0	                 376	           -108.9	          1.0	             57	            -13.1	            235.1	               43	            113.0	             34.6
           10.0	           47.0	                 380	           -112.5	          2.9	             55	            -13.6	            245.0	               31	            123.3	             35.8
           10.0	           47.0	                 384	           -113.5	          2.5	             56	            -13.9	            235.5	               57	            110.7	             29.1
           10.0	           47.0	                 388	           -122.0	          3.8	             67	            -12.1	            238.0	               46	            121.4	             66.9
           10.0	           47.0	                 391	           -137.3	          3.4	             69	            -17.4	            250.3	               41	            113.8	              3.4
           10.0	           47.0	                 396	           -118.4	          4.6	             57	            -11.6	            236.9	               43	            113.5	             38.1
           10.0	           47.0	                 403	           -123.6	          5.1	             57	            -15.2	            235.4	               52	            115.7	             39.9
           10.0	           47.0	                 406	           -124.3	          4.2	             62	            -11.7	            233.9	               46	            112.8	             34.4
           10.0	           47.0	                 410	           -118.8	          2.8	             65	            -10.0	            252.0	               51	            134.5	             62.3
           10.0	           47.0	                 536	           -132.8	          5.8	             59	             -0.9	            235.8	                6	            129.7	             21.1
           10.0	           47.0	                 539	           -133.4	          4.3	            129	            -10.4	            226.0	                5	            148.5	             68.5
           10.0	           47.0	                 667	           -152.5	          3.2	             59	             -4.0	            216.6	               15	            130.5	             26.2
           10.0	           47.0	                 670	           -160.0	          6.1	            122	            -11.6	            255.1	               11	            149.1	             19.7
           10.0	           47.0	                 672	           -158.3	          2.5	            284	            -12.4	            208.0	               21	            149.1	             19.6
           10.0	           47.0	                 675	           -158.5	          5.5	            142	             -4.5	            227.8	               13	            149.0	             22.4
           10.0	           47.0	                 678	           -160.0	          5.5	            130	             -4.4	            224.3	                6	            148.9	             43.7
           10.0	           47.0	                 681	           -155.2	          5.0	             58	             -5.0	            229.2	                7	            125.5	             19.7
           11.0	           47.8	                 153	            -61.2	          4.9	             69	            -20.4	            248.8	               28	             91.2	              0.0
           11.0	           47.8	                 156	            -84.6	          2.4	             50	             -5.4	            225.0	               77	            107.1	             13.6
           11.0	           47.8	                 157	            -78.7	          2.5	             52	             -6.0	            229.4	               62	            102.9	             13.8
           11.0	           47.8	                 160	            -67.0	          1.8	             51	             -3.9	            212.2	              137	             97.0	              0.8
           11.0	           47.8	                 168	            -77.9	          0.3	             51	             -4.1	            222.1	              104	            101.7	              2.8
           11.0	           47.8	                 169	            -77.5	          2.4	             52	             -6.8	            228.9	               60	            102.3	             13.4
           11.0	           47.8	                 172	            -71.5	          5.4	             51	             -4.2	            224.2	              101	            100.5	              3.5
           11.0	           47.8	                 180	            -74.4	          2.6	             53	             -5.7	            230.9	               58	            102.0	             14.9
           11.0	           47.8	                 180	            -85.0	          2.1	             48	             -4.8	            222.4	               94	            106.6	              6.7
           11.0	           47.8	                 182	            -89.6	          1.4	             53	             -8.9	            233.6	                1	            118.7	             15.1
           11.0	           47.8	                 184	            -79.2	          5.6	             52	             -5.9	            224.4	               96	            103.2	              7.0
           11.0	           47.8	                 190	            -84.5	          5.8	             56	             -8.5	            236.4	               56	            106.5	             21.7
           11.0	           47.8	                 190	            -74.3	          0.9	             53	             -6.2	            228.3	               81	            104.0	              8.2
           11.0	           47.8	                 198	            -80.1	          2.1	             58	             -8.5	            227.4	               70	            109.1	             12.7
           11.0	           47.8	                 205	            -90.6	          3.7	             49	             -7.5	            237.4	               65	            110.6	             34.3
           11.0	           47.8	                 208	            -88.3	          5.1	             53	             -8.3	            237.7	               58	            106.3	             27.0
           11.0	           47.8	                 212	            -83.6	          1.6	             56	             -7.5	            233.8	               57	            104.3	             19.0
           11.0	           47.8	                 214	            -77.6	          4.1	             51	             -8.6	            231.1	               43	            107.0	              8.0
           11.0	           47.8	                 223	            -85.4	          2.3	             52	             -6.9	            232.8	               56	            103.6	             17.3
           11.0	           47.8	                 226	            -94.6	          5.1	             53	             -9.1	            231.9	               37	            112.7	             11.3
           11.0	           47.8	                 233	            -78.9	          1.5	             59	             -7.9	            230.0	               45	            108.0	              9.6
           11.0	           47.8	                 235	            -81.6	          2.3	             57	            -10.5	            223.9	               88	            110.3	             20.7
           11.0	           47.8	                 242	           -102.0	          3.0	             52	            -12.8	            243.4	               41	            125.3	             26.3
           11.0	           47.8	                 243	            -80.0	          2.9	             54	             -9.9	            239.3	               63	            108.2	             28.2
           11.0	           47.8	                 259	            -98.4	          2.7	             54	             -7.9	            226.9	               89	            109.9	             24.1
           11.0	           47.8	                 352	           -108.5	          1.2	            138	             -6.7	            215.3	               12	            138.1	             52.2
           11.0	           47.8	                 355	           -101.4	          0.1	            271	            -14.6	            234.2	                3	            131.2	             31.0
           11.0	           47.8	                 358	           -111.0	          2.6	             56	             -5.4	            232.0	                1	            120.6	             22.4
           11.0	           47.8	                 361	           -110.6	          3.4	            114	             -7.4	            226.1	              -13	            140.0	             65.8
           11.0	           47.8	                 364	           -105.1	          2.5	            126	             -4.6	            232.9	               18	            134.9	             38.9
           11.0	           47.8	                 367	           -113.0	          3.2	            127	             -9.4	            240.5	                4	            141.5	             83.6
           11.0	           47.8	                 371	           -124.8	          2.6	            281	            -18.3	            246.4	                6	            147.3	            100.7
           11.0	           47.8	                 374	           -111.0	          5.8	            277	            -20.1	            238.7	               -1	            138.5	             67.0
           11.0	           47.8	                 378	           -109.2	          0.2	             57	             -3.6	            243.0	               -3	            127.2	             52.7
           11.0	           47.8	                 381	           -109.2	          5.4	            122	            -11.5	            220.0	               12	            138.7	             63.7
           11.0	           47.8	                 385	           -118.1	          6.2	            278	            -15.3	            234.9	               11	            142.4	             87.5
           11.0	           47.8	                 388	           -115.9	          3.0	             60	             -6.0	            215.1	                2	            131.3	             45.5
           11.0	           47.8	                 392	           -115.7	          4.7	            132	            -12.7	            240.8	                9	            143.1	             98.2
           11.0	           47.8	                 395	           -109.9	          3.1	            131	             -8.6	            219.3	                2	            139.3	             71.9
           11.0	           47.8	                 399	           -128.0	          1.1	            111	             -5.9	            235.0	               16	            148.4	             83.3
           11.0	           47.8	                 402	           -115.5	          0.3	             60	             -6.9	            225.9	               31	            128.3	             38.6
           11.0	           47.8	                 406	           -115.7	          0.7	            280	            -18.3	            234.2	                3	            139.7	             85.8
           11.0	           47.8	                 410	           -111.6	          3.2	             52	             -1.7	            226.3	                2	            124.2	             36.4
           11.0	           47.8	                 413	           -117.4	          2.8	             51	             -6.9	            241.0	               35	            122.6	             29.1
           11.0	           47.8	                 417	           -120.9	          0.1	            290	            -14.7	            217.9	                8	            146.8	            125.7
           11.0	           47.8	                 536	           -132.8	          5.8	             59	             -0.9	            235.8	                6	            129.7	             28.7
           11.0	           47.8	                 539	           -133.4	          4.3	            129	            -10.4	            226.0	                5	            144.1	            112.1
           11.0	           47.8	                 667	           -152.5	          3.2	             59	             -4.0	            216.6	               15	            130.5	             25.9
           11.0	           47.8	                 670	           -160.0	          6.1	            122	            -11.6	            255.1	               11	            149.0	             33.0
           11.0	           47.8	                 672	           -158.3	          2.5	            284	            -12.4	            208.0	               21	            149.1	             21.2
           11.0	           47.8	                 675	           -158.5	          5.5	            142	             -4.5	            227.8	               13	            148.7	             57.8
           11.0	           47.8	                 678	           -160.0	          5.5	            130	             -4.4	            224.3	                6	            144.3	            110.9
           11.0	           47.8	                 681	           -155.2	          5.0	             58	             -5.0	            229.2	                7	            125.5	             27.0
           12.0	           48.7	                 160	            -76.5	          0.5	             52	             -6.4	            232.5	                9	            106.1	             10.0
           12.0	           48.7	                 163	            -66.8	          0.3	            282	            -16.9	            221.4	                4	             96.8	              1.4
           12.0	           48.7	                 167	            -76.2	          3.4	             60	             -4.8	            234.1	               18	            106.1	              1.7
           12.0	           48.7	                 170	            -76.9	          4.8	            301	            -16.9	            229.5	               -2	            106.9	              0.4
           12.0	           48.7	                 175	            -93.5	          4.3	             41	             -1.5	            236.9	               12	            121.9	              7.2
           12.0	           48.7	                 179	            -85.2	          5.1	             55	              0.4	            244.1	                0	            115.2	              4.4
           12.0	           48.7	                 183	            -91.7	          2.7	            113	             -9.1	            223.4	                1	            120.9	              8.2
           12.0	           48.7	                 188	            -84.3	          2.2	            276	            -21.3	            216.9	                7	            106.1	              9.1
           12.0	           48.7	                 193	            -98.3	          4.5	            139	             -8.9	            236.6	                6	            127.6	             14.1
           12.0	           48.7	                 198	            -83.9	          1.8	             56	             -3.6	            232.8	                6	            108.4	             17.3
           12.0	           48.7	                 203	            -93.1	          2.0	            118	             -8.9	            221.0	               15	            122.9	             23.2
