195.51	7.298e-07	0.78358	54.414	-3.4601	234.2	22.22
194.17	4.364e-08	3.94	45.388	-5.7701	229.75	6.5293
198.01	7.9002e-07	5.0056	57.073	-6.8235	235.53	11.205
195.81	3.1079e-05	1.6319	54.929	-5.5942	249.21	-7.7892
201.13	0.0037813	4.7521	54.237	-5.6187	243.74	1.9302
203.76	0.00010173	1.8595	53.957	-5.5302	234.91	1.3647
203.67	2.2844e-06	3.4738	48.325	-8.6984	239.59	-9.249
254.81	1.4619e-08	2.0755	55.877	-6.66	235.51	40.288
247.9	4.08e-06	4.5836	59.762	-6.9342	240.96	5.847
245.54	9.2448e-08	3.3489	54.291	-6.0716	245.69	-15.205
257.39	2.2576e-10	1.0957	69.607	-7.8088	237.16	11.417
253.89	7.1631e-08	5.0038	47.439	-7.609	231.06	-15.01
254.63	1.5931e-08	3.6888	49.535	-5.2989	242.37	-27.662
254.92	4.4492e-08	2.1476	54.763	-4.9304	234.06	-45.038
267.7	1.3756e-08	0.52208	59.752	-8.3605	236.29	-14.151
268.57	2.172e-10	0.29204	66.574	-4.4993	234.48	-29.522
281.56	3.3428e-06	1.3226	53.847	-7.6657	245.51	-0.68982
289.88	8.4129e-07	1.456	50.379	-10.228	243.33	10.131
287.81	5.2581e-13	1.912	70.325	-7.2347	233.43	-14.361
302.61	3.1345e-10	1.3612	60.172	-8.1528	236.13	18.582
300.32	7.356e-10	1.5861	68.06	-10.447	239.59	-6.7811
288.1	6.102e-11	4.8439	61.486	-6.6306	234.66	-80.899
311.95	3.5779e-09	1.7189	60.87	-8.2494	236.38	-4.0971
313.53	5.8671e-10	5.2684	59.938	-6.0554	231.63	-17.658
329.28	3.0024e-09	4.0193	57.864	-8.2858	244.51	15.955
327.34	3.0247e-08	3.1377	56.879	-7.8617	233.13	-8.4419
333.37	3.0648e-09	1.5153	52.295	-6.8115	237.33	-7.0709
374.46	3.8297e-11	5.9988	66.273	-8.69	237.21	-31.505
380.14	4.1285e-11	2.1742	61.476	-9.4758	232.6	-21.05
387.64	3.5741e-10	3.7315	51.943	-8.4503	232.7	-8.1581
392.7	3.0631e-08	2.0645	54.953	-8.935	240.31	-3.6307
388.56	8.7101e-11	5.0355	57.903	-4.9662	246.66	-29.604
395.8	1.4365e-12	4.4076	67.396	-8.2974	230	-17.789
411.44	5.6526e-13	2.405	63.836	-9.5026	240.71	18.495
407.76	5.4912e-09	2.2771	60.402	-4.9699	235.27	-6.0099
412.79	2.0566e-11	5.9941	65.562	-9.0981	234.35	-3.2139
422.7	2.356e-10	0.42985	62.62	-8.4283	238.68	14.341
419.77	3.7357e-11	5.4403	58.305	-7.7633	231.67	-8.0538
550.81	2.5485e-14	1.0891	62.604	-10.525	252.64	-14.058
564.65	4.765e-13	6.1509	57.411	-7.4982	255.51	20.386
552.72	1.0642e-13	0.35515	59.78	-9.4278	237.07	-24.004
558.83	9.5974e-16	0.33254	68.617	-10.415	248.74	-13.89
556.55	1.2871e-14	0.73911	63.394	-6.1024	245.28	-28.265
564.81	2.0034e-13	0.063503	61.372	-10.023	235.71	-11.649
568.69	1.814e-13	4.2184	66.414	-7.779	243.22	-8.6038
573.58	1.9638e-14	0.4483	70.186	-6.3733	238.14	-2.1975
567.15	2.0727e-15	1.5103	67.658	-11.834	253.7	-31.523
571.83	3.3442e-16	5.0769	71.764	-10.473	234.41	-23.286
591.38	4.8027e-14	2.0302	58.096	-12.104	246.67	26.129
584.07	6.1928e-16	0.31332	71.765	-9.7056	231.01	-4.1044
